year,煤电,气电,油电,核电,生物质,水电,风电,太阳能
1990, 469.8, 2.8, 50.9,0,0, 126.7, 0.0, 0.0
1991, 528.8, 2.4, 53.1,0,0, 125.1, 0.0, 0.0
1992, 599.2, 2.5, 54.7,0,0, 132.5, 0.0, 0.0
1993, 650.4, 3.1, 67.3, 1.6,0, 151.8, 0.0, 0.0
1994, 720.4, 3.1, 48.7, 14.8, 0.3, 167.4, 0.0, 0.0
1995, 770.5, 3.1, 55.8, 12.8, 2.9, 190.6, 0.1, 0.0
1996, 846.4, 7.4, 50.9, 14.3, 1.4, 188.0, 0.1, 0.0
1997, 884.6, 19.4, 47.5, 14.4, 2.6, 196.0, 0.2, 0.0
1998, 903.5, 16.7, 53.8, 14.1, 2.4, 208.0, 0.4, 0.0
1999, 979.6, 17.5, 50.5, 14.9, 2.4, 203.8, 0.5, 0.0
2000,1079.9, 18.0, 47.4, 16.7, 2.4, 222.4, 0.6, 0.0
2001,1149.9, 17.3, 48.7, 17.5, 2.4, 277.4, 0.7, 0.0
2002,1305.5, 16.5, 50.9, 25.1, 2.4, 288.0, 0.9, 0.0
2003,1544.8, 12.7, 59.1, 43.3, 2.4, 283.7, 1.0, 0.1
2004,1741.0, 18.5, 74.5, 50.5, 2.4, 353.5, 1.3, 0.1
2005,1997.3, 23.2, 62.9, 53.1, 5.2, 397.0, 2.0, 0.1
2006,2327.2, 26.1, 53.4, 54.8, 7.0, 435.8, 3.9, 0.1
2007,2687.4, 40.9, 35.1, 62.1, 9.7, 485.3, 5.7, 0.1
2008,2769.6, 43.0, 23.9, 68.4, 14.7, 585.2, 14.8, 0.2
2009,2968.2, 62.0, 16.7, 70.1, 20.7, 615.6, 26.9, 0.3
2010,3274.2, 83.4, 13.3, 73.9, 33.9, 711.5, 44.6, 0.7
2011,3751.1, 95.2, 7.9, 86.4, 42.3, 688.0, 70.3, 2.6
2012,3812.3, 96.3, 7.5, 97.4, 44.8, 862.8, 96.0, 6.3
2013,4140.1, 100.2, 6.7, 111.6, 50.7, 909.6, 141.2, 15.5
2014,4098.2, 104.2, 6.7, 132.6, 58.4,1088.8, 167.5, 24.3
2015,3987.5, 165.8, 6.7, 169.5, 74.5,1114.3, 213.3, 40.5
2016,4114.1, 288.5, 6.9, 213.2, 75.0,1174.8, 242.0, 67.4
2017,4303.0, 303.4, 6.9, 248.3, 75.0,1194.5, 305.7, 118.2
2018,4629.9, 328.3, 7.0, 295.0, 75.0,1232.1, 365.8, 176.9
2019,4696.3, 336.3, 7.0, 348.7, 75.0,1301.9, 405.7, 223.8
2020,4695.0, 450.0, 7.0, 350.0, 75.0,1350.0, 420.0, 240.0
2021,5100.0, 500.0, 7.0, 408.0, 76.0,1340.0, 656.0, 327.0
